Category: All categories

Month,coffee
2004-01,49
2004-02,46
2004-03,43
2004-04,43
2004-05,45
2004-06,44
2004-07,44
2004-08,45
2004-09,43
2004-10,44
2004-11,50
2004-12,54
2005-01,46
2005-02,46
2005-03,44
2005-04,42
2005-05,41
2005-06,42
2005-07,63
2005-08,52
2005-09,46
2005-10,47
2005-11,52
2005-12,53
2006-01,47
2006-02,45
2006-03,45
2006-04,42
2006-05,39
2006-06,41
2006-07,40
2006-08,43
2006-09,42
2006-10,44
2006-11,45
2006-12,49
2007-01,44
2007-02,41
2007-03,42
2007-04,38
2007-05,38
2007-06,39
2007-07,40
2007-08,42
2007-09,40
2007-10,42
2007-11,44
2007-12,47
2008-01,43
2008-02,41
2008-03,41
2008-04,40
2008-05,40
2008-06,37
2008-07,38
2008-08,37
2008-09,37
2008-10,38
2008-11,42
2008-12,44
2009-01,41
2009-02,39
2009-03,39
2009-04,38
2009-05,37
2009-06,39
2009-07,39
2009-08,39
2009-09,40
2009-10,40
2009-11,45
2009-12,47
2010-01,43
2010-02,39
2010-03,43
2010-04,41
2010-05,40
2010-06,39
2010-07,41
2010-08,43
2010-09,42
2010-10,41
2010-11,48
2010-12,50
2011-01,47
2011-02,43
2011-03,44
2011-04,43
2011-05,43
2011-06,48
2011-07,51
2011-08,50
2011-09,51
2011-10,52
2011-11,59
2011-12,64
2012-01,59
2012-02,57
2012-03,55
2012-04,53
2012-05,54
2012-06,58
2012-07,62
2012-08,63
2012-09,66
2012-10,64
2012-11,66
2012-12,69
2013-01,64
2013-02,61
2013-03,61
2013-04,59
2013-05,58
2013-06,62
2013-07,59
2013-08,58
2013-09,55
2013-10,56
2013-11,59
2013-12,60
2014-01,60
2014-02,58
2014-03,57
2014-04,57
2014-05,54
2014-06,53
2014-07,58
2014-08,58
2014-09,60
2014-10,58
2014-11,62
2014-12,63
2015-01,61
2015-02,58
2015-03,59
2015-04,58
2015-05,56
2015-06,60
2015-07,59
2015-08,61
2015-09,66
2015-10,63
2015-11,68
2015-12,71
2016-01,68
2016-02,67
2016-03,63
2016-04,64
2016-05,63
2016-06,64
2016-07,64
2016-08,66
2016-09,70
2016-10,70
2016-11,78
2016-12,82
2017-01,73
2017-02,74
2017-03,73
2017-04,73
2017-05,73
2017-06,72
2017-07,75
2017-08,76
2017-09,79
2017-10,79
2017-11,81
2017-12,84
2018-01,80
2018-02,75
2018-03,77
2018-04,79
2018-05,76
2018-06,74
2018-07,80
2018-08,80
2018-09,81
2018-10,80
2018-11,85
2018-12,91
2019-01,86
2019-02,84
2019-03,81
2019-04,80
2019-05,81
2019-06,83
2019-07,91
2019-08,91
2019-09,89
2019-10,88
2019-11,94
2019-12,95
2020-01,90
2020-02,88
2020-03,81
2020-04,100
2020-05,88
2020-06,89
2020-07,89
2020-08,91
2020-09,90
2020-10,92
2020-11,88
2020-12,94
2021-01,99
