Category: All categories

Month,hotel
2004-01,79
2004-02,80
2004-03,81
2004-04,80
2004-05,83
2004-06,88
2004-07,100
2004-08,93
2004-09,82
2004-10,77
2004-11,71
2004-12,66
2005-01,85
2005-02,85
2005-03,84
2005-04,83
2005-05,86
2005-06,89
2005-07,97
2005-08,92
2005-09,82
2005-10,75
2005-11,74
2005-12,64
2006-01,78
2006-02,83
2006-03,83
2006-04,80
2006-05,82
2006-06,85
2006-07,94
2006-08,89
2006-09,80
2006-10,75
2006-11,71
2006-12,61
2007-01,77
2007-02,76
2007-03,79
2007-04,78
2007-05,78
2007-06,83
2007-07,90
2007-08,83
2007-09,76
2007-10,77
2007-11,67
2007-12,60
2008-01,74
2008-02,74
2008-03,73
2008-04,73
2008-05,71
2008-06,74
2008-07,81
2008-08,73
2008-09,67
2008-10,61
2008-11,57
2008-12,51
2009-01,64
2009-02,62
2009-03,64
2009-04,62
2009-05,63
2009-06,68
2009-07,75
2009-08,73
2009-09,64
2009-10,58
2009-11,56
2009-12,51
2010-01,61
2010-02,60
2010-03,64
2010-04,60
2010-05,62
2010-06,65
2010-07,72
2010-08,69
2010-09,59
2010-10,53
2010-11,51
2010-12,48
2011-01,56
2011-02,56
2011-03,55
2011-04,55
2011-05,60
2011-06,61
2011-07,67
2011-08,61
2011-09,55
2011-10,49
2011-11,47
2011-12,45
2012-01,52
2012-02,49
2012-03,52
2012-04,51
2012-05,52
2012-06,55
2012-07,62
2012-08,57
2012-09,52
2012-10,49
2012-11,45
2012-12,41
2013-01,50
2013-02,49
2013-03,50
2013-04,48
2013-05,49
2013-06,52
2013-07,57
2013-08,56
2013-09,48
2013-10,46
2013-11,43
2013-12,41
2014-01,50
2014-02,50
2014-03,49
2014-04,49
2014-05,50
2014-06,54
2014-07,61
2014-08,57
2014-09,49
2014-10,46
2014-11,42
2014-12,42
2015-01,50
2015-02,47
2015-03,49
2015-04,50
2015-05,50
2015-06,55
2015-07,59
2015-08,58
2015-09,51
2015-10,49
2015-11,46
2015-12,44
2016-01,49
2016-02,51
2016-03,49
2016-04,48
2016-05,52
2016-06,53
2016-07,60
2016-08,54
2016-09,49
2016-10,46
2016-11,44
2016-12,42
2017-01,49
2017-02,50
2017-03,48
2017-04,49
2017-05,50
2017-06,56
2017-07,61
2017-08,59
2017-09,48
2017-10,49
2017-11,47
2017-12,46
2018-01,51
2018-02,50
2018-03,51
2018-04,51
2018-05,50
2018-06,56
2018-07,61
2018-08,58
2018-09,50
2018-10,49
2018-11,45
2018-12,46
2019-01,51
2019-02,50
2019-03,50
2019-04,49
2019-05,51
2019-06,56
2019-07,65
2019-08,60
2019-09,54
2019-10,51
2019-11,50
2019-12,49
2020-01,55
2020-02,52
2020-03,32
2020-04,17
2020-05,23
2020-06,33
2020-07,42
2020-08,44
2020-09,37
2020-10,35
2020-11,26
2020-12,28
2021-01,32
