Category: All categories

Month,iphone
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,1
2007-01,9
2007-02,3
2007-03,2
2007-04,2
2007-05,2
2007-06,9
2007-07,12
2007-08,7
2007-09,11
2007-10,11
2007-11,14
2007-12,15
2008-01,14
2008-02,13
2008-03,15
2008-04,14
2008-05,15
2008-06,22
2008-07,33
2008-08,28
2008-09,25
2008-10,21
2008-11,22
2008-12,24
2009-01,21
2009-02,20
2009-03,22
2009-04,21
2009-05,21
2009-06,38
2009-07,30
2009-08,29
2009-09,30
2009-10,28
2009-11,28
2009-12,30
2010-01,32
2010-02,30
2010-03,30
2010-04,32
2010-05,32
2010-06,54
2010-07,55
2010-08,53
2010-09,49
2010-10,47
2010-11,48
2010-12,48
2011-01,50
2011-02,47
2011-03,46
2011-04,47
2011-05,47
2011-06,47
2011-07,50
2011-08,51
2011-09,55
2011-10,80
2011-11,57
2011-12,61
2012-01,59
2012-02,53
2012-03,52
2012-04,48
2012-05,49
2012-06,51
2012-07,53
2012-08,59
2012-09,100
2012-10,62
2012-11,57
2012-12,61
2013-01,56
2013-02,54
2013-03,52
2013-04,48
2013-05,47
2013-06,50
2013-07,50
2013-08,54
2013-09,82
2013-10,55
2013-11,51
2013-12,54
2014-01,48
2014-02,48
2014-03,47
2014-04,45
2014-05,45
2014-06,45
2014-07,50
2014-08,53
2014-09,94
2014-10,59
2014-11,55
2014-12,57
2015-01,51
2015-02,46
2015-03,46
2015-04,46
2015-05,45
2015-06,46
2015-07,48
2015-08,50
2015-09,64
2015-10,55
2015-11,49
2015-12,54
2016-01,48
2016-02,47
2016-03,54
2016-04,47
2016-05,45
2016-06,46
2016-07,51
2016-08,51
2016-09,78
2016-10,56
2016-11,54
2016-12,55
2017-01,48
2017-02,45
2017-03,45
2017-04,45
2017-05,44
2017-06,46
2017-07,47
2017-08,48
2017-09,73
2017-10,56
2017-11,64
2017-12,62
2018-01,51
2018-02,47
2018-03,45
2018-04,44
2018-05,43
2018-06,45
2018-07,45
2018-08,46
2018-09,58
2018-10,47
2018-11,50
2018-12,49
2019-01,46
2019-02,40
2019-03,41
2019-04,38
2019-05,39
2019-06,41
2019-07,41
2019-08,41
2019-09,62
2019-10,53
2019-11,51
2019-12,52
2020-01,46
2020-02,42
2020-03,40
2020-04,45
2020-05,46
2020-06,46
2020-07,45
2020-08,46
2020-09,47
2020-10,56
2020-11,52
2020-12,51
2021-01,52
