Category: All categories

Month,job
2004-01,66
2004-02,66
2004-03,65
2004-04,68
2004-05,67
2004-06,67
2004-07,63
2004-08,65
2004-09,61
2004-10,60
2004-11,57
2004-12,49
2005-01,66
2005-02,63
2005-03,63
2005-04,63
2005-05,62
2005-06,65
2005-07,62
2005-08,61
2005-09,60
2005-10,57
2005-11,55
2005-12,46
2006-01,62
2006-02,59
2006-03,60
2006-04,56
2006-05,58
2006-06,58
2006-07,57
2006-08,58
2006-09,57
2006-10,54
2006-11,52
2006-12,43
2007-01,59
2007-02,56
2007-03,56
2007-04,53
2007-05,55
2007-06,53
2007-07,55
2007-08,54
2007-09,53
2007-10,55
2007-11,49
2007-12,43
2008-01,58
2008-02,57
2008-03,57
2008-04,58
2008-05,56
2008-06,58
2008-07,57
2008-08,54
2008-09,55
2008-10,55
2008-11,52
2008-12,44
2009-01,62
2009-02,59
2009-03,58
2009-04,53
2009-05,54
2009-06,56
2009-07,55
2009-08,56
2009-09,55
2009-10,52
2009-11,51
2009-12,44
2010-01,56
2010-02,54
2010-03,56
2010-04,55
2010-05,51
2010-06,53
2010-07,53
2010-08,51
2010-09,50
2010-10,47
2010-11,46
2010-12,39
2011-01,51
2011-02,48
2011-03,50
2011-04,48
2011-05,49
2011-06,50
2011-07,50
2011-08,49
2011-09,48
2011-10,45
2011-11,45
2011-12,39
2012-01,50
2012-02,47
2012-03,46
2012-04,46
2012-05,48
2012-06,46
2012-07,46
2012-08,46
2012-09,47
2012-10,46
2012-11,42
2012-12,37
2013-01,48
2013-02,47
2013-03,45
2013-04,46
2013-05,45
2013-06,47
2013-07,47
2013-08,46
2013-09,47
2013-10,45
2013-11,44
2013-12,38
2014-01,48
2014-02,49
2014-03,48
2014-04,46
2014-05,48
2014-06,49
2014-07,50
2014-08,48
2014-09,51
2014-10,46
2014-11,44
2014-12,41
2015-01,50
2015-02,48
2015-03,49
2015-04,48
2015-05,48
2015-06,50
2015-07,49
2015-08,49
2015-09,51
2015-10,46
2015-11,44
2015-12,41
2016-01,49
2016-02,48
2016-03,47
2016-04,48
2016-05,48
2016-06,49
2016-07,47
2016-08,47
2016-09,48
2016-10,44
2016-11,43
2016-12,40
2017-01,48
2017-02,48
2017-03,49
2017-04,46
2017-05,49
2017-06,48
2017-07,47
2017-08,48
2017-09,45
2017-10,46
2017-11,44
2017-12,39
2018-01,47
2018-02,46
2018-03,45
2018-04,46
2018-05,45
2018-06,46
2018-07,46
2018-08,45
2018-09,45
2018-10,43
2018-11,40
2018-12,39
2019-01,47
2019-02,46
2019-03,45
2019-04,42
2019-05,44
2019-06,44
2019-07,48
2019-08,52
2019-09,100
2019-10,43
2019-11,41
2019-12,38
2020-01,46
2020-02,46
2020-03,37
2020-04,31
2020-05,34
2020-06,40
2020-07,41
2020-08,41
2020-09,41
2020-10,40
2020-11,36
2020-12,37
2021-01,36
