Category: All categories

Month,nokia
2004-01,72
2004-02,63
2004-03,64
2004-04,65
2004-05,65
2004-06,68
2004-07,74
2004-08,71
2004-09,70
2004-10,70
2004-11,75
2004-12,85
2005-01,77
2005-02,75
2005-03,70
2005-04,70
2005-05,70
2005-06,76
2005-07,76
2005-08,76
2005-09,73
2005-10,70
2005-11,76
2005-12,83
2006-01,77
2006-02,74
2006-03,70
2006-04,69
2006-05,73
2006-06,76
2006-07,77
2006-08,76
2006-09,78
2006-10,79
2006-11,79
2006-12,89
2007-01,80
2007-02,77
2007-03,79
2007-04,79
2007-05,82
2007-06,85
2007-07,90
2007-08,92
2007-09,86
2007-10,85
2007-11,93
2007-12,100
2008-01,84
2008-02,81
2008-03,80
2008-04,75
2008-05,78
2008-06,80
2008-07,79
2008-08,82
2008-09,78
2008-10,81
2008-11,78
2008-12,88
2009-01,78
2009-02,80
2009-03,78
2009-04,75
2009-05,77
2009-06,79
2009-07,86
2009-08,87
2009-09,87
2009-10,83
2009-11,83
2009-12,92
2010-01,85
2010-02,81
2010-03,80
2010-04,78
2010-05,81
2010-06,81
2010-07,89
2010-08,96
2010-09,92
2010-10,93
2010-11,91
2010-12,100
2011-01,89
2011-02,87
2011-03,83
2011-04,81
2011-05,77
2011-06,81
2011-07,86
2011-08,84
2011-09,83
2011-10,81
2011-11,82
2011-12,84
2012-01,77
2012-02,77
2012-03,74
2012-04,66
2012-05,67
2012-06,66
2012-07,68
2012-08,69
2012-09,72
2012-10,61
2012-11,63
2012-12,66
2013-01,62
2013-02,62
2013-03,61
2013-04,56
2013-05,59
2013-06,58
2013-07,64
2013-08,62
2013-09,61
2013-10,58
2013-11,58
2013-12,61
2014-01,56
2014-02,54
2014-03,55
2014-04,52
2014-05,51
2014-06,53
2014-07,53
2014-08,51
2014-09,48
2014-10,45
2014-11,42
2014-12,42
2015-01,37
2015-02,35
2015-03,34
2015-04,31
2015-05,29
2015-06,28
2015-07,26
2015-08,26
2015-09,24
2015-10,22
2015-11,21
2015-12,21
2016-01,20
2016-02,18
2016-03,18
2016-04,16
2016-05,16
2016-06,16
2016-07,17
2016-08,16
2016-09,14
2016-10,14
2016-11,13
2016-12,14
2017-01,16
2017-02,21
2017-03,16
2017-04,13
2017-05,12
2017-06,16
2017-07,17
2017-08,16
2017-09,15
2017-10,15
2017-11,14
2017-12,14
2018-01,13
2018-02,12
2018-03,12
2018-04,12
2018-05,14
2018-06,12
2018-07,12
2018-08,12
2018-09,11
2018-10,12
2018-11,11
2018-12,11
2019-01,10
2019-02,10
2019-03,10
2019-04,9
2019-05,9
2019-06,10
2019-07,10
2019-08,9
2019-09,12
2019-10,10
2019-11,9
2019-12,8
2020-01,8
2020-02,8
2020-03,7
2020-04,6
2020-05,7
2020-06,9
2020-07,8
2020-08,8
2020-09,7
2020-10,7
2020-11,7
2020-12,6
2021-01,6
