Category: All categories

Month,vaccine
2004-01,3
2004-02,4
2004-03,4
2004-04,4
2004-05,4
2004-06,3
2004-07,4
2004-08,4
2004-09,4
2004-10,10
2004-11,6
2004-12,4
2005-01,4
2005-02,4
2005-03,4
2005-04,5
2005-05,4
2005-06,4
2005-07,3
2005-08,4
2005-09,4
2005-10,7
2005-11,6
2005-12,3
2006-01,4
2006-02,4
2006-03,4
2006-04,3
2006-05,4
2006-06,4
2006-07,4
2006-08,4
2006-09,4
2006-10,5
2006-11,5
2006-12,4
2007-01,4
2007-02,5
2007-03,5
2007-04,4
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,5
2007-11,5
2007-12,4
2008-01,4
2008-02,4
2008-03,4
2008-04,4
2008-05,4
2008-06,3
2008-07,3
2008-08,3
2008-09,4
2008-10,5
2008-11,4
2008-12,3
2009-01,4
2009-02,4
2009-03,4
2009-04,5
2009-05,4
2009-06,5
2009-07,5
2009-08,7
2009-09,10
2009-10,23
2009-11,21
2009-12,9
2010-01,6
2010-02,5
2010-03,5
2010-04,4
2010-05,4
2010-06,4
2010-07,4
2010-08,4
2010-09,5
2010-10,5
2010-11,4
2010-12,4
2011-01,4
2011-02,4
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,4
2011-08,4
2011-09,5
2011-10,5
2011-11,5
2011-12,4
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,5
2012-06,4
2012-07,5
2012-08,5
2012-09,5
2012-10,6
2012-11,5
2012-12,4
2013-01,6
2013-02,5
2013-03,4
2013-04,5
2013-05,5
2013-06,5
2013-07,5
2013-08,5
2013-09,6
2013-10,6
2013-11,5
2013-12,4
2014-01,5
2014-02,4
2014-03,5
2014-04,5
2014-05,5
2014-06,5
2014-07,5
2014-08,5
2014-09,6
2014-10,8
2014-11,5
2014-12,5
2015-01,6
2015-02,9
2015-03,6
2015-04,6
2015-05,5
2015-06,5
2015-07,5
2015-08,5
2015-09,6
2015-10,7
2015-11,6
2015-12,5
2016-01,5
2016-02,6
2016-03,5
2016-04,6
2016-05,5
2016-06,5
2016-07,5
2016-08,6
2016-09,6
2016-10,6
2016-11,6
2016-12,5
2017-01,6
2017-02,6
2017-03,6
2017-04,6
2017-05,6
2017-06,6
2017-07,6
2017-08,6
2017-09,7
2017-10,8
2017-11,7
2017-12,6
2018-01,7
2018-02,7
2018-03,6
2018-04,7
2018-05,7
2018-06,6
2018-07,7
2018-08,7
2018-09,7
2018-10,9
2018-11,8
2018-12,7
2019-01,7
2019-02,9
2019-03,9
2019-04,9
2019-05,9
2019-06,8
2019-07,7
2019-08,7
2019-09,8
2019-10,9
2019-11,8
2019-12,7
2020-01,9
2020-02,11
2020-03,30
2020-04,27
2020-05,26
2020-06,22
2020-07,32
2020-08,31
2020-09,26
2020-10,24
2020-11,38
2020-12,81
2021-01,100
